P1797_RNA_01	P1797_RNA_02	P1797_RNA_03	P1797_RNA_04	P1797_RNA_05	P1797_RNA_06	P1797_RNA_07	P1797_RNA_08	P1797_RNA_09	P1797_RNA_10	P1797_RNA_11	P1797_RNA_12	P1797_RNA_13	P1797_RNA_14	P1797_RNA_15	P1797_RNA_16	P1797_RNA_17	P1797_RNA_18	P1797_RNA_19	P1797_RNA_20	P1797_RNA_21	P1797_RNA_22	P1797_RNA_23	P1797_RNA_24
ENSMUSG00000111802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000108974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103419	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000092359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104649	7	2	7	3	4	1	8	16	10	3	9	4	3	6	8	12	14	1	16	14	6	11	26	5
ENSMUSG00000080223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
ENSMUSG00000111710	1	1	3	3	2	3	0	3	5	1	1	2	1	5	3	0	1	1	0	1	9	3	26	1
ENSMUSG00000099425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
